iter	Passed	Remaining
0	7	7558
1	15	7831
2	21	7171
3	29	7234
4	35	7040
5	41	6796
6	49	6970
7	54	6818
8	62	6860
9	69	6837
10	74	6720
11	82	6790
12	88	6710
13	95	6760
14	102	6746
15	108	6660
16	116	6722
17	126	6884
18	135	6976
19	143	7041
20	151	7045
21	160	7155
22	168	7154
23	178	7251
24	186	7256
25	195	7307
26	202	7299
27	211	7357
28	218	7332
29	228	7377
30	235	7367
31	245	7413
32	252	7396
33	261	7420
34	268	7399
35	277	7426
36	284	7402
37	291	7374
38	297	7324
39	303	7292
40	311	7289
41	317	7237
42	325	7248
43	334	7261
44	344	7314
45	352	7302
46	360	7306
47	366	7262
48	374	7271
49	380	7236
50	388	7238
51	396	7228
52	405	7250
53	413	7239
54	423	7268
55	430	7256
56	438	7256
57	443	7210
58	451	7200
59	457	7171
60	464	7144
61	471	7137
62	478	7111
63	486	7114
64	492	7083
65	500	7079
66	506	7054
67	513	7033
68	520	7019
69	526	6994
70	533	6984
71	540	6964
72	547	6951
73	554	6937
74	560	6912
75	568	6909
76	574	6887
77	581	6878
78	588	6860
79	595	6851
80	601	6829
81	607	6805
82	615	6799
83	622	6786
84	632	6803
85	638	6783
86	645	6778
87	652	6766
88	658	6737
89	666	6740
90	672	6718
91	680	6720
92	686	6693
93	694	6694
94	702	6689
95	710	6691
96	717	6676
97	723	6654
98	729	6642
99	735	6621
100	742	6604
101	748	6585
102	754	6569
103	761	6559
104	766	6537
105	773	6524
106	779	6506
107	785	6484
108	792	6475
109	798	6463
110	806	6455
111	813	6450
112	823	6463
113	830	6455
114	836	6434
115	844	6432
116	849	6413
117	857	6409
118	863	6393
119	870	6381
120	877	6372
121	883	6355
122	890	6350
123	896	6335
124	904	6332
125	912	6332
126	921	6331
127	928	6322
128	936	6322
129	943	6314
130	949	6297
131	957	6296
132	963	6281
133	970	6275
134	977	6261
135	984	6255
136	990	6242
137	996	6225
138	1005	6225
139	1010	6208
140	1017	6200
141	1023	6185
142	1028	6166
143	1036	6159
144	1041	6143
145	1049	6137
146	1055	6125
147	1061	6110
148	1069	6105
149	1074	6091
150	1081	6081
151	1087	6068
152	1094	6058
153	1102	6057
154	1107	6039
155	1114	6031
156	1122	6025
157	1128	6015
158	1135	6006
159	1142	5995
160	1150	5993
161	1156	5980
162	1164	5977
163	1170	5965
164	1178	5961
165	1184	5951
166	1190	5939
167	1198	5934
168	1203	5919
169	1211	5915
170	1218	5907
171	1228	5913
172	1236	5909
173	1243	5900
174	1249	5890
175	1255	5878
176	1263	5874
177	1269	5860
178	1275	5851
179	1281	5839
180	1287	5827
181	1295	5824
182	1302	5812
183	1309	5806
184	1315	5794
185	1320	5778
186	1329	5778
187	1335	5766
188	1341	5757
189	1348	5746
190	1355	5739
191	1362	5734
192	1369	5725
193	1378	5726
194	1385	5718
195	1392	5713
196	1398	5701
197	1406	5695
198	1412	5685
199	1419	5676
200	1426	5671
201	1432	5659
202	1440	5653
203	1446	5642
204	1453	5637
205	1460	5628
206	1465	5614
207	1472	5607
208	1478	5595
209	1484	5585
210	1491	5577
211	1497	5566
212	1504	5560
213	1510	5549
214	1518	5542
215	1525	5538
216	1533	5532
217	1539	5522
218	1545	5510
219	1553	5507
220	1559	5497
221	1566	5489
222	1573	5482
223	1578	5469
224	1586	5465
225	1592	5453
226	1599	5447
227	1605	5435
228	1611	5424
229	1620	5426
230	1626	5415
231	1637	5420
232	1644	5413
233	1652	5410
234	1657	5396
235	1666	5393
236	1672	5383
237	1677	5369
238	1684	5362
239	1689	5349
240	1695	5341
241	1702	5331
242	1708	5320
243	1715	5315
244	1721	5306
245	1728	5298
246	1735	5291
247	1741	5281
248	1749	5277
249	1755	5266
250	1763	5261
251	1768	5249
252	1773	5236
253	1781	5231
254	1786	5220
255	1793	5212
256	1799	5203
257	1805	5193
258	1813	5187
259	1819	5177
260	1826	5170
261	1833	5163
262	1838	5152
263	1846	5146
264	1851	5134
265	1858	5128
266	1865	5121
267	1870	5110
268	1878	5104
269	1884	5095
270	1891	5088
271	1897	5079
272	1904	5070
273	1911	5065
274	1917	5054
275	1925	5050
276	1931	5042
277	1940	5038
278	1948	5036
279	1956	5030
280	1962	5021
281	1968	5011
282	1976	5007
283	1982	4998
284	1989	4992
285	1995	4982
286	2003	4976
287	2009	4968
288	2015	4957
289	2023	4953
290	2028	4942
291	2036	4936
292	2044	4933
293	2054	4932
294	2060	4924
295	2066	4915
296	2073	4908
297	2079	4898
298	2085	4889
299	2091	4879
300	2096	4868
301	2103	4862
302	2110	4854
303	2117	4847
304	2123	4838
305	2128	4827
306	2136	4823
307	2142	4814
308	2149	4807
309	2156	4800
310	2162	4790
311	2169	4784
312	2175	4774
313	2182	4767
314	2188	4759
315	2193	4748
316	2202	4744
317	2207	4735
318	2214	4727
319	2220	4719
320	2227	4710
321	2236	4709
322	2243	4701
323	2251	4698
324	2257	4688
325	2264	4681
326	2271	4675
327	2278	4668
328	2285	4661
329	2291	4653
330	2299	4648
331	2305	4638
332	2312	4632
333	2318	4623
334	2324	4614
335	2333	4610
336	2339	4602
337	2347	4598
338	2355	4592
339	2363	4588
340	2370	4580
341	2378	4576
342	2386	4570
343	2393	4563
344	2400	4557
345	2407	4551
346	2414	4543
347	2419	4533
348	2426	4526
349	2432	4517
350	2438	4509
351	2446	4504
352	2453	4496
353	2461	4492
354	2467	4483
355	2476	4480
356	2484	4473
357	2493	4472
358	2499	4463
359	2507	4457
360	2513	4449
361	2521	4444
362	2527	4435
363	2533	4425
364	2541	4420
365	2546	4411
366	2554	4406
367	2561	4398
368	2567	4390
369	2574	4384
370	2580	4375
371	2587	4368
372	2594	4361
373	2603	4356
374	2610	4350
375	2617	4343
376	2625	4338
377	2631	4330
378	2639	4324
379	2645	4316
380	2653	4310
381	2659	4301
382	2665	4293
383	2673	4288
384	2679	4279
385	2686	4273
386	2693	4265
387	2700	4258
388	2706	4250
389	2712	4242
390	2720	4236
391	2725	4226
392	2732	4220
393	2738	4212
394	2744	4203
395	2752	4198
396	2758	4189
397	2765	4182
398	2771	4174
399	2777	4165
400	2784	4160
401	2790	4151
402	2798	4145
403	2804	4137
404	2811	4129
405	2817	4122
406	2823	4114
407	2830	4107
408	2836	4098
409	2841	4089
410	2849	4083
411	2855	4075
412	2864	4070
413	2870	4062
414	2878	4058
415	2885	4050
416	2890	4041
417	2898	4035
418	2903	4026
419	2911	4019
420	2917	4012
421	2925	4006
422	2932	4000
423	2942	3997
424	2949	3990
425	2954	3981
426	2962	3975
427	2967	3966
428	2975	3960
429	2981	3952
430	2987	3943
431	2995	3937
432	3000	3929
433	3008	3923
434	3014	3915
435	3019	3905
436	3027	3899
437	3033	3891
438	3040	3884
439	3046	3877
440	3053	3870
441	3060	3863
442	3067	3856
443	3076	3853
444	3083	3845
445	3092	3841
446	3097	3832
447	3106	3827
448	3111	3818
449	3117	3810
450	3124	3803
451	3130	3795
452	3138	3790
453	3144	3782
454	3151	3775
455	3158	3767
